Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder	tle_name	tle
BugSat-1	ACTIVE	40014	.	.	437.445	9k6 FSK (non AX.25)	LU7AA	latest report	details	YES		BUGSAT 1	"1 40014U 14033E   19191.52463314 -.00000154  00000-0 -81704-5 0  9996
2 40014  98.0168 139.5552 0031959 350.4956   9.5662 14.95275699275764"
UniSat-6	ACTIVE	40012	.	.	437.426	9k6 FSK	II0US	latest report	details	YES		UNISAT 6	"1 40012U 14033C   19190.85578537  .00000102  00000-0  22628-4 0  9993
2 40012  97.7553  56.5529 0059202  30.8695 329.5973 14.73983192271809"
TigriSat	ACTIVE	40043	.	.	435.000	9k6 FSK	HNATIG	latest report	details	NO		TIGRISAT	"1 40043U 14033AK  19191.54717081  .00000067  00000-0  17327-4 0  9993
2 40043  97.7550  58.4508 0060744  27.5995 332.8416 14.74273210271822"
SPROUT	ACTIVE	39770	437.600	437.600	437.525	"1k2 AFSK, CW, SSTV"	JQ1ZJQ	latest report	details	YES		SPROUT	"1 39770U 14029E   19191.76502167  .00000322  00000-0  41795-4 0  9994
2 39770  97.8845 294.9137 0009757  20.3537 339.8047 14.87355200278110"
RS-22 (Mozhayets)	ACTIVE	27939	.	.	435.352	CW		latest report	details	NO		MOZHAYETS 4	"1 27939U 03042A   19191.80933804  .00000085  00000-0  23900-4 0  9996
2 27939  98.0438 327.1967 0012859   3.5787 356.5511 14.66789839843781"
FO-29 (JAS-2)	ACTIVE	24278	145.900	435.900	435.796	"SSB,CW"	8J1JCS	latest report	details	.		JAS 2 (FO-29)	"1 24278U 96046B   19190.92001374 -.00000032  00000-0  29975-5 0  9997
2 24278  98.5401 341.4530 0350321 184.7956 174.9796 13.53092694130678"
ISS	ACTIVE	25544	437.550	437.550	437.550	APRS	RS0ISS	latest report	details	.		SPACE STATION	"1 25544U 98067A   19191.64362958  .00000242  00000-0  11957-4 0  9999
2 25544  51.6430 244.8938 0007211 126.3371   5.0810 15.50966263178893"
CO-55 (CUTE-I)	ACTIVE	27844	.	437.470	436.838	1k2 AFSK	JQ1YCY	latest report	details	YES		CUTE-1	"1 27844U 03031E   19190.89992822 +.00000026 +00000-0 +31564-4 0  9992
2 27844 098.6831 198.7959 0009276 336.9771 023.0990 14.22184320831260"
CO-57 (XI-IV)	ACTIVE	27848	.	437.490	436.848	"1k2 AFSK,CW"	JQ1YCW	latest report	details	YES		CUBESAT XI-IV	"1 27848U 03031J   19190.96848208 +.00000025 +00000-0 +31125-4 0  9994
2 27848 098.6909 199.3681 0009377 348.6456 011.4508 14.21778848831136"
CO-58 (XI-V)	ACTIVE	28895	.	437.345	437.465	"1k2 AFSK,CW"	JQ1YGW	latest report	details	YES		CUBESAT XI-V	"1 28895U 05043F   19191.11084378  .00000083  00000-0  24892-4 0  9997
2 28895  97.9620 333.1107 0015374 285.1384  74.8118 14.63673439730618"
CUTE1.7+APDII	ACTIVE	32785	.	437.475	437.275	"1k2 AFSK,CW"	JQ1YTC	latest report	details	YES		CUTE-1.7+APD II	"1 32785U 08021C   19191.13242380  .00000163  00000-0  23248-4 0  9993
2 32785  97.5494 189.8358 0012836 184.8806 175.2289 14.88318357606871"
AAUSAT-II	ACTIVE	32788	.	437.432	437.432	1k2 FFSK/MSK	OZ2CUB	latest report	details	YES		AAUSAT CUBESAT 2	"1 32788U 08021F   19191.00454023  .00000417  00000-0  43322-4 0  9998
2 32788  97.4961 205.7932 0013185 123.8431 236.4047 14.94742979608101"
CO-66 (SEEDS-II)	ACTIVE	32791	.	437.485	437.485	"1k2 FM, CW, Talker"	JQ1YGU	latest report	details	YES		SEEDS	"1 32791U 08021J   19190.98058821  .00000200  00000-0  25670-4 0  9990
2 32791  97.5274 195.6866 0013809 160.5140 199.6610 14.90831527607282"
